Family	Hotel	Park	Day
Arnold	Mammoth Motel	World's Fair	Saturday
Arnold	Mammoth Motel	Trunk Water Park	Sunday
Wagner	Pachyderm Suites	Animal Planet Zoo	Friday
Wagner	Pachyderm Suites	Animal Planet Zoo	Saturday
Wagner	Pachyderm Suites	Animal Planet Zoo	Sunday
Willis	Mammoth Motel	World's Fair	Friday
Willis	Mammoth Motel	Jumbo Kingdom	Saturday
Willis	Mammoth Motel	Jumbo Studios	Sunday
Ray	Trunk Inn	Jumbo Kingdom	Friday
Ray	Trunk Inn	Jumbo Studios	Saturday
Ray	Trunk Inn	World's Fair	Sunday
Watkins	Pachyderm Suites	Animal Planet Zoo	Friday
Watkins	Pachyderm Suites	World's Fair	Saturday
Watkins	Pachyderm Suites	Jumbo Studios	Sunday
Olson	Mouse Resort	World's Fair	Friday
Olson	Mouse Resort	Jumbo Studios	Saturday
Olson	Mouse Resort	Jumbo Kingdom	Sunday
Carroll	Loxodon Lodge	Jumbo Studios	Friday
Carroll	Loxodon Lodge	World's Fair	Saturday
Carroll	Loxodon Lodge	Trunk Water Park	Sunday
Duncan	Mammoth Motel	World's Fair	Friday
Duncan	Mammoth Motel	World's Fair	Saturday
Duncan	Mammoth Motel	Jumbo Studios	Sunday
Snyder	Mouse Resort	World's Fair	Friday
Snyder	Mouse Resort	Jumbo Studios	Saturday
Snyder	Mouse Resort	Jumbo Kingdom	Sunday
Hart	Tusk Hotel	Jumbo Kingdom	Friday
Hart	Tusk Hotel	Jumbo Kingdom	Saturday
Hart	Tusk Hotel	Jumbo Studios	Sunday
Cunningham	Oliphant Camp	World's Fair	Friday
Cunningham	Oliphant Camp	Jumbo Golf Course	Saturday
Cunningham	Oliphant Camp	Jumbo Kingdom	Sunday
Bradley	Tusk Hotel	Jumbo Kingdom	Friday
Bradley	Tusk Hotel	Jumbo Studios	Saturday
Bradley	Tusk Hotel	World's Fair	Sunday
Lane	Tusk Hotel	Jumbo Kingdom	Friday
Lane	Tusk Hotel	World's Fair	Saturday
Lane	Tusk Hotel	World's Fair	Sunday
Andrews	Trunk Inn	Jumbo Kingdom	Friday
Andrews	Trunk Inn	Jumbo Studios	Saturday
Andrews	Trunk Inn	Trunk Water Park	Sunday
Ruiz	Trunk Inn	Jumbo Golf Course	Friday
Ruiz	Trunk Inn	Jumbo Kingdom	Saturday
Ruiz	Trunk Inn	Jumbo Studios	Sunday
Harper	Mammoth Motel	World's Fair	Friday
Harper	Mammoth Motel	Jumbo Golf Course	Saturday
Harper	Mammoth Motel	Jumbo Kingdom	Sunday
Fox	Mammoth Motel	Jumbo Studios	Friday
Fox	Mammoth Motel	Jumbo Kingdom	Saturday
Fox	Mammoth Motel	Jumbo Kingdom	Sunday
Riley	Trunk Inn	Animal Planet Zoo	Friday
Riley	Trunk Inn	Jumbo Kingdom	Saturday
Riley	Trunk Inn	World's Fair	Sunday
Armstrong	Pachyderm Suites	World's Fair	Friday
Armstrong	Pachyderm Suites	Jumbo Studios	Saturday
Armstrong	Pachyderm Suites	Jumbo Studios	Sunday
Carpenter	Pachyderm Suites	World's Fair	Friday
Carpenter	Pachyderm Suites	Jumbo Kingdom	Saturday
Carpenter	Pachyderm Suites	Jumbo Studios	Sunday
Weaver	Elephant Lodge	Trunk Water Park	Friday
Weaver	Elephant Lodge	Animal Planet Zoo	Saturday
Weaver	Elephant Lodge	World's Fair	Sunday
Greene	Mammoth Motel	World's Fair	Friday
Greene	Mammoth Motel	Jumbo Kingdom	Saturday
Greene	Mammoth Motel	Jumbo Studios	Sunday
Lawrence	Oliphant Camp	World's Fair	Friday
Lawrence	Oliphant Camp	Jumbo Kingdom	Saturday
Lawrence	Oliphant Camp	Jumbo Studios	Sunday
Elliott	Tusk Hotel	Jumbo Kingdom	Friday
Elliott	Tusk Hotel	Jumbo Golf Course	Saturday
Elliott	Tusk Hotel	Trunk Water Park	Sunday
Chavez	Tusk Hotel	Jumbo Kingdom	Friday
Chavez	Tusk Hotel	Jumbo Studios	Saturday
Chavez	Tusk Hotel	Jumbo Golf Course	Sunday
Sims	Oliphant Camp	World's Fair	Friday
Sims	Oliphant Camp	Jumbo Kingdom	Saturday
Sims	Oliphant Camp	Jumbo Studios	Sunday
Austin	Oliphant Camp	World's Fair	Friday
Austin	Oliphant Camp	World's Fair	Saturday
Austin	Oliphant Camp	Jumbo Golf Course	Sunday
Peters	Trunk Inn	Jumbo Kingdom	Friday
Peters	Trunk Inn	Trunk Water Park	Saturday
Peters	Trunk Inn	World's Fair	Sunday
Kelley	Pachyderm Suites	Animal Planet Zoo	Friday
Kelley	Pachyderm Suites	World's Fair	Saturday
Kelley	Pachyderm Suites	Jumbo Kingdom	Sunday
Franklin	Oliphant Camp	Jumbo Kingdom	Friday
Franklin	Oliphant Camp	Jumbo Studios	Saturday
Franklin	Oliphant Camp	Jumbo Golf Course	Sunday
Lawson	Pachyderm Suites	World's Fair	Friday
Lawson	Pachyderm Suites	Jumbo Kingdom	Saturday
Lawson	Pachyderm Suites	Jumbo Studios	Sunday
Fields	Mammoth Motel	World's Fair	Friday
Fields	Mammoth Motel	World's Fair	Saturday
Fields	Mammoth Motel	Jumbo Studios	Sunday
Gutierrez	Oliphant Camp	Jumbo Studios	Friday
Gutierrez	Oliphant Camp	World's Fair	Saturday
Gutierrez	Oliphant Camp	Jumbo Golf Course	Sunday
Ryan	Loxodon Lodge	World's Fair	Friday
Ryan	Loxodon Lodge	Trunk Water Park	Saturday
Ryan	Loxodon Lodge	Jumbo Studios	Sunday
Schmidt	Mouse Resort	World's Fair	Friday
Schmidt	Mouse Resort	Jumbo Golf Course	Saturday
Schmidt	Mouse Resort	Jumbo Kingdom	Sunday
Carr	Trunk Inn	Jumbo Kingdom	Friday
Carr	Trunk Inn	World's Fair	Saturday
Carr	Trunk Inn	World's Fair	Sunday
Vasquez	Pachyderm Suites	Jumbo Kingdom	Friday
Vasquez	Pachyderm Suites	World's Fair	Saturday
Vasquez	Pachyderm Suites	World's Fair	Sunday
Castillo	Trunk Inn	Jumbo Kingdom	Friday
Castillo	Trunk Inn	Jumbo Studios	Saturday
Castillo	Trunk Inn	Animal Planet Zoo	Sunday
Wheeler	Mouse Resort	Jumbo Studios	Friday
Wheeler	Mouse Resort	Jumbo Golf Course	Saturday
Wheeler	Mouse Resort	World's Fair	Sunday
Chapman	Mammoth Motel	Jumbo Studios	Friday
Chapman	Mammoth Motel	Jumbo Studios	Saturday
Chapman	Mammoth Motel	Jumbo Kingdom	Sunday
Oliver	Mouse Resort	Animal Planet Zoo	Friday
Oliver	Mouse Resort	Jumbo Golf Course	Saturday
Oliver	Mouse Resort	Jumbo Golf Course	Sunday
Montgomery	Mouse Resort	Trunk Water Park	Friday
Montgomery	Mouse Resort	Trunk Water Park	Saturday
Montgomery	Mouse Resort	Trunk Water Park	Sunday
Richards	Loxodon Lodge	Trunk Water Park	Friday
Richards	Loxodon Lodge	Jumbo Kingdom	Saturday
Richards	Loxodon Lodge	World's Fair	Sunday
Williamson	Trunk Inn	Jumbo Kingdom	Friday
Williamson	Trunk Inn	Animal Planet Zoo	Saturday
Williamson	Trunk Inn	World's Fair	Sunday
Johnston	Trunk Inn	Jumbo Kingdom	Friday
Johnston	Trunk Inn	Jumbo Kingdom	Saturday
Johnston	Trunk Inn	Jumbo Studios	Sunday
Banks	Tusk Hotel	Jumbo Kingdom	Friday
Banks	Tusk Hotel	Jumbo Kingdom	Saturday
Banks	Tusk Hotel	Animal Planet Zoo	Sunday
Meyer	Mammoth Motel	Jumbo Studios	Friday
Meyer	Mammoth Motel	Jumbo Studios	Saturday
Meyer	Mammoth Motel	Trunk Water Park	Sunday
Bishop	Elephant Lodge	Animal Planet Zoo	Friday
Bishop	Elephant Lodge	Jumbo Studios	Saturday
Bishop	Elephant Lodge	Trunk Water Park	Sunday
Mccoy	Trunk Inn	World's Fair	Friday
Mccoy	Trunk Inn	Jumbo Kingdom	Saturday
Mccoy	Trunk Inn	Jumbo Studios	Sunday
Howell	Tusk Hotel	Jumbo Kingdom	Friday
Howell	Tusk Hotel	Animal Planet Zoo	Saturday
Howell	Tusk Hotel	Animal Planet Zoo	Sunday
Alvarez	Loxodon Lodge	Jumbo Studios	Friday
Alvarez	Loxodon Lodge	Trunk Water Park	Saturday
Alvarez	Loxodon Lodge	Jumbo Kingdom	Sunday
Morrison	Tusk Hotel	Jumbo Kingdom	Friday
Morrison	Tusk Hotel	World's Fair	Saturday
Morrison	Tusk Hotel	World's Fair	Sunday
Hansen	Trunk Inn	World's Fair	Friday
Hansen	Trunk Inn	World's Fair	Saturday
Hansen	Trunk Inn	Jumbo Kingdom	Sunday
Fernandez	Pachyderm Suites	World's Fair	Friday
Fernandez	Pachyderm Suites	World's Fair	Saturday
Fernandez	Pachyderm Suites	Trunk Water Park	Sunday
Garza	Pachyderm Suites	World's Fair	Friday
Garza	Pachyderm Suites	Jumbo Kingdom	Saturday
Garza	Pachyderm Suites	Animal Planet Zoo	Sunday
Harvey	Loxodon Lodge	World's Fair	Friday
Harvey	Loxodon Lodge	Jumbo Kingdom	Saturday
Harvey	Loxodon Lodge	Jumbo Studios	Sunday
Little	Trunk Inn	Jumbo Kingdom	Friday
Little	Trunk Inn	Jumbo Studios	Saturday
Little	Trunk Inn	Animal Planet Zoo	Sunday
Burton	Tusk Hotel	World's Fair	Friday
Burton	Tusk Hotel	World's Fair	Saturday
Burton	Tusk Hotel	Jumbo Kingdom	Sunday
Stanley	Loxodon Lodge	Jumbo Kingdom	Friday
Stanley	Loxodon Lodge	Trunk Water Park	Saturday
Stanley	Loxodon Lodge	World's Fair	Sunday
Nguyen	Pachyderm Suites	World's Fair	Friday
Nguyen	Pachyderm Suites	Animal Planet Zoo	Saturday
Nguyen	Pachyderm Suites	Jumbo Kingdom	Sunday
George	Loxodon Lodge	Jumbo Studios	Friday
George	Loxodon Lodge	World's Fair	Saturday
George	Loxodon Lodge	Trunk Water Park	Sunday
Jacobs	Pachyderm Suites	Jumbo Kingdom	Friday
Jacobs	Pachyderm Suites	World's Fair	Saturday
Jacobs	Pachyderm Suites	Jumbo Studios	Sunday
Reid	Mouse Resort	Jumbo Studios	Friday
Reid	Mouse Resort	Jumbo Golf Course	Saturday
Reid	Mouse Resort	Trunk Water Park	Sunday
Kim	Oliphant Camp	World's Fair	Friday
Kim	Oliphant Camp	Jumbo Studios	Saturday
Kim	Oliphant Camp	Jumbo Kingdom	Sunday
Fuller	Pachyderm Suites	Jumbo Kingdom	Friday
Fuller	Pachyderm Suites	World's Fair	Saturday
Fuller	Pachyderm Suites	Animal Planet Zoo	Sunday
Lynch	Mammoth Motel	Jumbo Golf Course	Friday
Lynch	Mammoth Motel	World's Fair	Saturday
Lynch	Mammoth Motel	Animal Planet Zoo	Sunday
Dean	Oliphant Camp	Animal Planet Zoo	Friday
Dean	Oliphant Camp	World's Fair	Saturday
Dean	Oliphant Camp	World's Fair	Sunday
Gilbert	Tusk Hotel	Jumbo Kingdom	Friday
Gilbert	Tusk Hotel	Jumbo Kingdom	Saturday
Gilbert	Tusk Hotel	World's Fair	Sunday
Garrett	Oliphant Camp	Jumbo Studios	Friday
Garrett	Oliphant Camp	World's Fair	Saturday
Garrett	Oliphant Camp	Trunk Water Park	Sunday
Romero	Tusk Hotel	Jumbo Kingdom	Friday
Romero	Tusk Hotel	Trunk Water Park	Saturday
Romero	Tusk Hotel	Trunk Water Park	Sunday
Welch	Mammoth Motel	World's Fair	Friday
Welch	Mammoth Motel	Animal Planet Zoo	Saturday
Welch	Mammoth Motel	Jumbo Studios	Sunday
Larson	Trunk Inn	Jumbo Kingdom	Friday
Larson	Trunk Inn	Jumbo Golf Course	Saturday
Larson	Trunk Inn	World's Fair	Sunday
Frazier	Oliphant Camp	World's Fair	Friday
Frazier	Oliphant Camp	Trunk Water Park	Saturday
Frazier	Oliphant Camp	Jumbo Golf Course	Sunday
Burke	Loxodon Lodge	Jumbo Kingdom	Friday
Burke	Loxodon Lodge	Jumbo Studios	Saturday
Burke	Loxodon Lodge	World's Fair	Sunday
Hanson	Pachyderm Suites	World's Fair	Friday
Hanson	Pachyderm Suites	Jumbo Kingdom	Saturday
Hanson	Pachyderm Suites	Jumbo Golf Course	Sunday
Day	Mammoth Motel	Jumbo Kingdom	Friday
Day	Mammoth Motel	Jumbo Studios	Saturday
Day	Mammoth Motel	Animal Planet Zoo	Sunday
Mendoza	Loxodon Lodge	Jumbo Studios	Friday
Mendoza	Loxodon Lodge	Jumbo Studios	Saturday
Mendoza	Loxodon Lodge	Jumbo Studios	Sunday
Moreno	Tusk Hotel	Jumbo Kingdom	Friday
Moreno	Tusk Hotel	Jumbo Studios	Saturday
Moreno	Tusk Hotel	World's Fair	Sunday
Bowman	Tusk Hotel	Trunk Water Park	Friday
Bowman	Tusk Hotel	Animal Planet Zoo	Saturday
Bowman	Tusk Hotel	Jumbo Kingdom	Sunday
Medina	Mammoth Motel	Jumbo Studios	Friday
Medina	Mammoth Motel	Animal Planet Zoo	Saturday
Medina	Mammoth Motel	Trunk Water Park	Sunday
Fowler	Elephant Lodge	Jumbo Kingdom	Friday
Fowler	Elephant Lodge	Animal Planet Zoo	Saturday
Fowler	Elephant Lodge	Jumbo Studios	Sunday
Brewer	Loxodon Lodge	Jumbo Golf Course	Friday
Brewer	Loxodon Lodge	World's Fair	Saturday
Brewer	Loxodon Lodge	Jumbo Kingdom	Sunday
Hoffman	Mammoth Motel	World's Fair	Friday
Hoffman	Mammoth Motel	Jumbo Golf Course	Saturday
Hoffman	Mammoth Motel	Jumbo Studios	Sunday
Carlson	Loxodon Lodge	Jumbo Studios	Friday
Carlson	Loxodon Lodge	World's Fair	Saturday
Carlson	Loxodon Lodge	Jumbo Kingdom	Sunday
Silva	Pachyderm Suites	World's Fair	Friday
Silva	Pachyderm Suites	Jumbo Kingdom	Saturday
Silva	Pachyderm Suites	Jumbo Studios	Sunday
Pearson	Elephant Lodge	Jumbo Studios	Friday
Pearson	Elephant Lodge	Trunk Water Park	Saturday
Pearson	Elephant Lodge	Jumbo Kingdom	Sunday
Holland	Loxodon Lodge	World's Fair	Friday
Holland	Loxodon Lodge	Jumbo Studios	Saturday
Holland	Loxodon Lodge	Animal Planet Zoo	Sunday
Douglas	Mammoth Motel	World's Fair	Friday
Douglas	Mammoth Motel	Jumbo Studios	Saturday
Douglas	Mammoth Motel	Animal Planet Zoo	Sunday
Fleming	Mouse Resort	Jumbo Golf Course	Friday
Fleming	Mouse Resort	World's Fair	Saturday
Fleming	Mouse Resort	Jumbo Studios	Sunday
Jensen	Oliphant Camp	World's Fair	Friday
Jensen	Oliphant Camp	Jumbo Kingdom	Saturday
Jensen	Oliphant Camp	Jumbo Kingdom	Sunday
Vargas	Trunk Inn	Animal Planet Zoo	Friday
Vargas	Trunk Inn	Jumbo Kingdom	Saturday
Vargas	Trunk Inn	World's Fair	Sunday
Byrd	Pachyderm Suites	Jumbo Studios	Friday
Byrd	Pachyderm Suites	Jumbo Studios	Saturday
Byrd	Pachyderm Suites	Jumbo Kingdom	Sunday
Davidson	Oliphant Camp	World's Fair	Friday
Davidson	Oliphant Camp	Jumbo Kingdom	Saturday
Davidson	Oliphant Camp	Trunk Water Park	Sunday
Hopkins	Loxodon Lodge	World's Fair	Friday
Hopkins	Loxodon Lodge	Jumbo Kingdom	Saturday
Hopkins	Loxodon Lodge	Jumbo Studios	Sunday
May	Loxodon Lodge	Jumbo Studios	Friday
May	Loxodon Lodge	Jumbo Studios	Saturday
May	Loxodon Lodge	Trunk Water Park	Sunday
Terry	Tusk Hotel	Jumbo Kingdom	Friday
Terry	Tusk Hotel	Jumbo Kingdom	Saturday
Terry	Tusk Hotel	Jumbo Studios	Sunday
Herrera	Mammoth Motel	Jumbo Kingdom	Friday
Herrera	Mammoth Motel	Jumbo Studios	Saturday
Herrera	Mammoth Motel	Jumbo Studios	Sunday
Wade	Oliphant Camp	World's Fair	Friday
Wade	Oliphant Camp	Trunk Water Park	Saturday
Wade	Oliphant Camp	Jumbo Kingdom	Sunday
Soto	Tusk Hotel	World's Fair	Friday
Soto	Tusk Hotel	Jumbo Kingdom	Saturday
Soto	Tusk Hotel	Jumbo Golf Course	Sunday
Walters	Elephant Lodge	Trunk Water Park	Friday
Walters	Elephant Lodge	Jumbo Studios	Saturday
Walters	Elephant Lodge	Jumbo Kingdom	Sunday
Curtis	Mouse Resort	World's Fair	Friday
Curtis	Mouse Resort	Jumbo Golf Course	Saturday
Curtis	Mouse Resort	Jumbo Kingdom	Sunday
Neal	Trunk Inn	Jumbo Kingdom	Friday
Neal	Trunk Inn	World's Fair	Saturday
Neal	Trunk Inn	World's Fair	Sunday
Caldwell	Tusk Hotel	Jumbo Studios	Friday
Caldwell	Tusk Hotel	Jumbo Kingdom	Saturday
Caldwell	Tusk Hotel	Animal Planet Zoo	Sunday
Lowe	Mouse Resort	Jumbo Golf Course	Friday
Lowe	Mouse Resort	Jumbo Kingdom	Saturday
Lowe	Mouse Resort	Jumbo Kingdom	Sunday
Jennings	Mouse Resort	World's Fair	Friday
Jennings	Mouse Resort	Jumbo Kingdom	Saturday
Jennings	Mouse Resort	Trunk Water Park	Sunday
Barnett	Pachyderm Suites	Jumbo Studios	Friday
Barnett	Pachyderm Suites	Trunk Water Park	Saturday
Barnett	Pachyderm Suites	Animal Planet Zoo	Sunday
Graves	Loxodon Lodge	Jumbo Kingdom	Friday
Graves	Loxodon Lodge	World's Fair	Saturday
Graves	Loxodon Lodge	Jumbo Studios	Sunday
Jimenez	Tusk Hotel	Animal Planet Zoo	Friday
Jimenez	Tusk Hotel	Jumbo Kingdom	Saturday
Jimenez	Tusk Hotel	World's Fair	Sunday
Horton	Tusk Hotel	Jumbo Kingdom	Friday
Horton	Tusk Hotel	Jumbo Golf Course	Saturday
Horton	Tusk Hotel	World's Fair	Sunday
Shelton	Tusk Hotel	Jumbo Golf Course	Friday
Shelton	Tusk Hotel	Jumbo Kingdom	Saturday
Shelton	Tusk Hotel	Jumbo Kingdom	Sunday
Barrett	Elephant Lodge	Trunk Water Park	Friday
Barrett	Elephant Lodge	Trunk Water Park	Saturday
Barrett	Elephant Lodge	Jumbo Studios	Sunday
Obrien	Mouse Resort	Jumbo Golf Course	Friday
Obrien	Mouse Resort	Jumbo Kingdom	Saturday
Obrien	Mouse Resort	World's Fair	Sunday
Castro	Loxodon Lodge	World's Fair	Friday
Castro	Loxodon Lodge	World's Fair	Saturday
Castro	Loxodon Lodge	Animal Planet Zoo	Sunday
Sutton	Pachyderm Suites	Jumbo Kingdom	Friday
Sutton	Pachyderm Suites	World's Fair	Saturday
Sutton	Pachyderm Suites	Animal Planet Zoo	Sunday
Gregory	Pachyderm Suites	Animal Planet Zoo	Friday
Gregory	Pachyderm Suites	Jumbo Golf Course	Saturday
Gregory	Pachyderm Suites	World's Fair	Sunday
Mckinney	Mouse Resort	Animal Planet Zoo	Friday
Mckinney	Mouse Resort	Jumbo Kingdom	Saturday
Mckinney	Mouse Resort	Jumbo Studios	Sunday
Lucas	Pachyderm Suites	World's Fair	Friday
Lucas	Pachyderm Suites	Trunk Water Park	Saturday
Lucas	Pachyderm Suites	Jumbo Kingdom	Sunday
Miles	Mammoth Motel	Jumbo Golf Course	Friday
Miles	Mammoth Motel	Jumbo Golf Course	Saturday
Miles	Mammoth Motel	World's Fair	Sunday
Craig	Trunk Inn	Jumbo Kingdom	Friday
Craig	Trunk Inn	Jumbo Kingdom	Saturday
Craig	Trunk Inn	Trunk Water Park	Sunday
Rodriquez	Elephant Lodge	Animal Planet Zoo	Friday
Rodriquez	Elephant Lodge	Trunk Water Park	Saturday
Rodriquez	Elephant Lodge	Trunk Water Park	Sunday
Chambers	Elephant Lodge	Animal Planet Zoo	Friday
Chambers	Elephant Lodge	Animal Planet Zoo	Saturday
Chambers	Elephant Lodge	Animal Planet Zoo	Sunday
Holt	Pachyderm Suites	Jumbo Kingdom	Friday
Holt	Pachyderm Suites	Jumbo Golf Course	Saturday
Holt	Pachyderm Suites	Animal Planet Zoo	Sunday
Lambert	Mammoth Motel	Animal Planet Zoo	Friday
Lambert	Mammoth Motel	Trunk Water Park	Saturday
Lambert	Mammoth Motel	Jumbo Kingdom	Sunday
Fletcher	Pachyderm Suites	Jumbo Studios	Friday
Fletcher	Pachyderm Suites	Jumbo Golf Course	Saturday
Fletcher	Pachyderm Suites	World's Fair	Sunday
Watts	Trunk Inn	World's Fair	Friday
Watts	Trunk Inn	Jumbo Kingdom	Saturday
Watts	Trunk Inn	Jumbo Studios	Sunday
Bates	Loxodon Lodge	Animal Planet Zoo	Friday
Bates	Loxodon Lodge	Animal Planet Zoo	Saturday
Bates	Loxodon Lodge	World's Fair	Sunday
Hale	Pachyderm Suites	Jumbo Kingdom	Friday
Hale	Pachyderm Suites	World's Fair	Saturday
Hale	Pachyderm Suites	Jumbo Golf Course	Sunday
Rhodes	Loxodon Lodge	Jumbo Studios	Friday
Rhodes	Loxodon Lodge	World's Fair	Saturday
Rhodes	Loxodon Lodge	Jumbo Golf Course	Sunday
Pena	Trunk Inn	Jumbo Studios	Friday
Pena	Trunk Inn	Jumbo Kingdom	Saturday
Pena	Trunk Inn	Trunk Water Park	Sunday
Beck	Tusk Hotel	Jumbo Golf Course	Friday
Beck	Tusk Hotel	Jumbo Kingdom	Saturday
Beck	Tusk Hotel	Jumbo Studios	Sunday
Newman	Tusk Hotel	Jumbo Studios	Friday
Newman	Tusk Hotel	Jumbo Kingdom	Saturday
Newman	Tusk Hotel	World's Fair	Sunday
Haynes	Pachyderm Suites	World's Fair	Friday
Haynes	Pachyderm Suites	Jumbo Golf Course	Saturday
Haynes	Pachyderm Suites	Jumbo Kingdom	Sunday
Mcdaniel	Elephant Lodge	Trunk Water Park	Friday
Mcdaniel	Elephant Lodge	Jumbo Studios	Saturday
Mcdaniel	Elephant Lodge	Jumbo Studios	Sunday
Mendez	Mammoth Motel	Jumbo Studios	Friday
Mendez	Mammoth Motel	Jumbo Kingdom	Saturday
Mendez	Mammoth Motel	World's Fair	Sunday
Bush	Mammoth Motel	Jumbo Studios	Friday
Bush	Mammoth Motel	Jumbo Studios	Saturday
Bush	Mammoth Motel	Jumbo Kingdom	Sunday
Vaughn	Trunk Inn	Jumbo Kingdom	Friday
Vaughn	Trunk Inn	World's Fair	Saturday
Vaughn	Trunk Inn	Animal Planet Zoo	Sunday
Parks	Trunk Inn	Jumbo Kingdom	Friday
Parks	Trunk Inn	Animal Planet Zoo	Saturday
Parks	Trunk Inn	Jumbo Studios	Sunday
Dawson	Pachyderm Suites	Jumbo Studios	Friday
Dawson	Pachyderm Suites	Jumbo Kingdom	Saturday
Dawson	Pachyderm Suites	Jumbo Kingdom	Sunday
Santiago	Trunk Inn	Jumbo Kingdom	Friday
Santiago	Trunk Inn	Animal Planet Zoo	Saturday
Santiago	Trunk Inn	Jumbo Studios	Sunday
Norris	Mouse Resort	Animal Planet Zoo	Friday
Norris	Mouse Resort	Animal Planet Zoo	Saturday
Norris	Mouse Resort	Jumbo Kingdom	Sunday
Hardy	Loxodon Lodge	Jumbo Studios	Friday
Hardy	Loxodon Lodge	Jumbo Kingdom	Saturday
Hardy	Loxodon Lodge	World's Fair	Sunday
Love	Pachyderm Suites	Trunk Water Park	Friday
Love	Pachyderm Suites	Jumbo Kingdom	Saturday
Love	Pachyderm Suites	Jumbo Studios	Sunday
Steele	Mouse Resort	Jumbo Kingdom	Friday
Steele	Mouse Resort	Jumbo Kingdom	Saturday
Steele	Mouse Resort	World's Fair	Sunday
Curry	Tusk Hotel	Jumbo Kingdom	Friday
Curry	Tusk Hotel	Trunk Water Park	Saturday
Curry	Tusk Hotel	World's Fair	Sunday
Powers	Mammoth Motel	World's Fair	Friday
Powers	Mammoth Motel	Jumbo Studios	Saturday
Powers	Mammoth Motel	Jumbo Kingdom	Sunday
Schultz	Tusk Hotel	World's Fair	Friday
Schultz	Tusk Hotel	World's Fair	Saturday
Schultz	Tusk Hotel	World's Fair	Sunday
Barker	Pachyderm Suites	Jumbo Studios	Friday
Barker	Pachyderm Suites	Jumbo Studios	Saturday
Barker	Pachyderm Suites	World's Fair	Sunday
Guzman	Tusk Hotel	Animal Planet Zoo	Friday
Guzman	Tusk Hotel	Jumbo Kingdom	Saturday
Guzman	Tusk Hotel	Jumbo Golf Course	Sunday
Page	Mouse Resort	Jumbo Studios	Friday
Page	Mouse Resort	World's Fair	Saturday
Page	Mouse Resort	Jumbo Golf Course	Sunday
Munoz	Elephant Lodge	Jumbo Studios	Friday
Munoz	Elephant Lodge	Trunk Water Park	Saturday
Munoz	Elephant Lodge	Jumbo Kingdom	Sunday
Ball	Mammoth Motel	Jumbo Kingdom	Friday
Ball	Mammoth Motel	Jumbo Studios	Saturday
Ball	Mammoth Motel	Animal Planet Zoo	Sunday
Keller	Mammoth Motel	Jumbo Studios	Friday
Keller	Mammoth Motel	Jumbo Kingdom	Saturday
Keller	Mammoth Motel	Jumbo Kingdom	Sunday
Chandler	Tusk Hotel	Jumbo Kingdom	Friday
Chandler	Tusk Hotel	World's Fair	Saturday
Chandler	Tusk Hotel	Animal Planet Zoo	Sunday
Weber	Pachyderm Suites	World's Fair	Friday
Weber	Pachyderm Suites	Jumbo Kingdom	Saturday
Weber	Pachyderm Suites	Jumbo Studios	Sunday
Leonard	Oliphant Camp	World's Fair	Friday
Leonard	Oliphant Camp	Jumbo Kingdom	Saturday
Leonard	Oliphant Camp	Jumbo Studios	Sunday
Walsh	Tusk Hotel	Jumbo Kingdom	Friday
Walsh	Tusk Hotel	World's Fair	Saturday
Walsh	Tusk Hotel	Animal Planet Zoo	Sunday
Lyons	Mammoth Motel	Jumbo Kingdom	Friday
Lyons	Mammoth Motel	Jumbo Kingdom	Saturday
Lyons	Mammoth Motel	Jumbo Kingdom	Sunday
Ramsey	Trunk Inn	Animal Planet Zoo	Friday
Ramsey	Trunk Inn	World's Fair	Saturday
Ramsey	Trunk Inn	Jumbo Kingdom	Sunday
Wolfe	Oliphant Camp	World's Fair	Friday
Wolfe	Oliphant Camp	Trunk Water Park	Saturday
Wolfe	Oliphant Camp	Trunk Water Park	Sunday
Schneider	Loxodon Lodge	World's Fair	Friday
Schneider	Loxodon Lodge	Jumbo Golf Course	Saturday
Schneider	Loxodon Lodge	Trunk Water Park	Sunday
Mullins	Tusk Hotel	Jumbo Kingdom	Friday
Mullins	Tusk Hotel	Jumbo Studios	Saturday
Mullins	Tusk Hotel	Animal Planet Zoo	Sunday
Benson	Mammoth Motel	World's Fair	Friday
Benson	Mammoth Motel	Jumbo Studios	Saturday
Benson	Mammoth Motel	Jumbo Kingdom	Sunday
Sharp	Trunk Inn	Jumbo Studios	Friday
Sharp	Trunk Inn	Jumbo Kingdom	Saturday
Sharp	Trunk Inn	Trunk Water Park	Sunday
Bowen	Loxodon Lodge	World's Fair	Friday
Bowen	Loxodon Lodge	Jumbo Studios	Saturday
Bowen	Loxodon Lodge	Jumbo Kingdom	Sunday
Daniel	Mouse Resort	Jumbo Studios	Friday
Daniel	Mouse Resort	Trunk Water Park	Saturday
Daniel	Mouse Resort	Trunk Water Park	Sunday
Barber	Pachyderm Suites	Jumbo Golf Course	Friday
Barber	Pachyderm Suites	Jumbo Kingdom	Saturday
Barber	Pachyderm Suites	Jumbo Kingdom	Sunday
Cummings	Loxodon Lodge	Trunk Water Park	Friday
Cummings	Loxodon Lodge	Jumbo Studios	Saturday
Cummings	Loxodon Lodge	World's Fair	Sunday
Hines	Mammoth Motel	Animal Planet Zoo	Friday
Hines	Mammoth Motel	Jumbo Studios	Saturday
Hines	Mammoth Motel	Jumbo Kingdom	Sunday
Baldwin	Loxodon Lodge	Jumbo Studios	Friday
Baldwin	Loxodon Lodge	World's Fair	Saturday
