,Jumbo Kingdom,World's Fair,Jumbo Studios,Animal Planet Zoo,Jumbo Golf Course,Trunk Water Park
Bernard,1,1,0,1,0,0
Joyner,0,1,1,0,0,0
Stein,1,0,1,1,0,0
Aguirre,1,0,0,1,0,1
Osborn,0,0,1,0,1,0
Mercer,0,0,1,1,0,0
Bender,1,1,0,0,1,0
Franco,1,1,0,0,1,0
Rowland,0,1,1,0,0,0
Sykes,1,1,0,0,0,1
Benjamin,1,1,1,0,0,0
Travis,0,1,1,0,1,0
Pickett,1,0,1,1,0,0
Crane,1,1,0,0,0,1
Sears,1,0,1,0,0,1
Mayo,0,1,0,0,1,0
Dunlap,0,0,1,1,0,0
Hayden,1,1,0,0,1,0
Wilder,0,0,1,0,0,1
Mckay,0,1,0,1,0,0
Coffey,1,0,1,0,0,0
Mccarty,1,1,0,1,0,0
Ewing,1,1,0,0,1,0
Cooley,0,1,1,0,1,0
Vaughan,0,1,1,0,0,0
Bonner,1,0,0,0,1,0
Cotton,0,0,1,1,0,0
Holder,1,0,1,1,0,0
Stark,1,0,0,1,0,1
Ferrell,0,0,0,1,0,1
Cantrell,1,0,1,1,0,0
Fulton,0,0,1,0,0,1
Lynn,0,0,1,0,0,1
Lott,1,1,0,0,0,0
Calderon,1,0,0,1,0,0
Rosa,1,1,1,0,0,0
Pollard,0,1,0,1,1,0
Hooper,1,1,0,1,0,0
Burch,1,1,0,0,0,1
Mullen,1,1,0,1,0,0
Fry,1,0,1,1,0,0
Riddle,1,0,1,1,0,0
Levy,1,0,1,0,0,1
David,1,0,0,0,1,0
Duke,1,1,1,0,0,0
Odonnell,1,1,0,1,0,0
Guy,1,0,1,0,1,0
Michael,1,1,0,0,0,0
Britt,1,0,1,0,0,1
Frederick,1,1,1,0,0,0
Daugherty,1,1,1,0,0,0
Berger,1,1,1,0,0,0
Dillard,1,1,0,1,0,0
Alston,1,1,0,0,0,1
Jarvis,0,1,1,0,0,0
Frye,1,1,1,0,0,0
Riggs,0,1,0,0,1,0
Chaney,1,0,0,0,0,0
Odom,1,1,0,0,1,0
Duffy,1,0,0,1,0,0
Fitzpatrick,1,0,1,1,0,0
Valenzuela,0,0,1,0,0,1
Merrill,1,0,1,1,0,0
Mayer,0,1,1,0,0,0
Alford,1,1,0,1,0,0
Mcpherson,1,0,0,0,1,1
Acevedo,1,0,1,1,0,0
Donovan,1,1,1,0,0,0
Barrera,1,0,1,0,0,1
Albert,1,1,0,0,0,0
Cote,1,1,0,0,0,0
Reilly,1,0,1,1,0,0
Compton,1,0,1,0,0,1
Raymond,0,1,1,0,0,1
Mooney,1,1,0,0,0,0
Mcgowan,0,1,1,1,0,0
Craft,1,1,1,0,0,0
Cleveland,1,1,0,0,1,0
Clemons,1,0,1,0,1,0
Wynn,1,1,0,1,0,0
Nielsen,1,1,0,1,0,0
Baird,0,1,1,0,0,1
Stanton,1,0,1,1,0,0
Snider,0,1,1,0,0,0
Rosales,1,1,0,1,0,0
Bright,1,1,0,0,0,1
Witt,1,1,0,1,0,0
Stuart,1,0,1,0,0,0
Hays,0,1,1,1,0,0
Holden,1,1,0,0,0,1
Rutledge,1,1,0,1,0,0
Kinney,0,1,1,0,0,1
Clements,1,0,0,1,0,0
Castaneda,0,1,1,0,0,1
Slater,1,0,0,1,0,1
Hahn,1,0,1,0,0,1
Emerson,1,1,0,1,0,0
Conrad,1,0,1,0,0,1
Burks,1,1,1,0,0,0
Delaney,0,0,1,0,0,1
Pate,1,0,1,0,0,0
Lancaster,1,0,1,1,0,0
Sweet,0,1,0,0,0,1
Justice,0,0,1,0,0,0
Tyson,1,0,1,1,0,0
Sharpe,1,1,0,0,0,0
Whitfield,1,0,1,0,0,0
Talley,1,0,0,0,0,0
Macias,0,1,1,0,0,1
Irwin,1,0,0,0,0,0
Burris,0,0,0,1,0,1
Ratliff,1,1,1,0,0,0
Mccray,0,0,0,0,0,1
Madden,0,1,0,0,0,0
Kaufman,1,0,0,0,0,1
Beach,1,1,0,0,0,0
Goff,0,1,0,0,1,0
Cash,1,1,0,0,0,0
Bolton,0,1,1,0,1,0
Mcfadden,1,0,0,0,1,0
Levine,1,1,0,1,0,0
Good,1,0,1,1,0,0
Byers,1,0,1,1,0,0
Kirkland,1,1,0,0,0,1
Kidd,1,1,1,0,0,0
Workman,1,0,0,1,0,1
Carney,1,0,0,1,0,0
Dale,0,1,0,1,0,0
Mcleod,1,0,0,1,0,1
Holcomb,1,0,1,1,0,0
England,1,1,0,1,0,0
Finch,0,0,1,0,0,0
Head,1,0,1,1,0,0
Burt,1,0,0,1,0,1
Hendrix,0,1,0,1,0,0
Sosa,1,1,1,0,0,0
Haney,0,1,1,1,0,0
Franks,0,1,1,1,0,0
Sargent,1,0,0,0,0,1
Nieves,1,1,0,0,0,0
Downs,0,1,1,0,1,0
Rasmussen,0,1,0,1,0,0
Bird,0,1,1,0,1,0
Hewitt,0,0,1,0,0,1
Lindsay,0,0,0,0,1,0
Le,1,0,0,0,1,0
Foreman,1,1,0,0,0,0
Valencia,0,1,1,1,0,0
Oneil,0,1,0,0,0,1
Delacruz,1,0,1,1,0,0
Vinson,1,1,0,1,0,0
Dejesus,1,1,1,0,0,0
Hyde,0,0,1,0,1,1
Forbes,1,0,0,1,0,0
Gilliam,0,0,0,0,0,1
Guthrie,1,0,1,1,0,0
Wooten,1,1,0,0,0,0
Huber,1,1,1,0,0,0
Barlow,1,0,1,0,0,1
Boyle,0,1,1,0,1,0
Mcmahon,1,1,0,0,1,0
Buckner,1,0,0,0,0,0
Rocha,1,1,0,0,0,0
Puckett,1,1,0,1,0,0
Langley,1,1,1,0,0,0
Knowles,1,1,0,0,0,0
Cooke,0,1,1,0,1,0
Velazquez,0,1,0,1,0,1
Whitley,1,1,0,0,0,0
Noel,0,0,1,1,0,0
Vang,0,1,1,0,1,0
